rooms,area_m2,floor_current,floor_total,price,city,district,building_type
3,135,6,17,800,Bakı,Əhmədli m.,Teze tikili
2,40,1,5,450,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,88,5,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
3,96,15,16,940,Bakı,Nəriman Nərimanov m.,Teze tikili
2,55,6,18,700,Bakı,Gənclik m.,Teze tikili
2,68,3,5,699,Bakı,Qara Qarayev m.,Kohne tikili
2,73,5,6,350,Bakı,Abşeron r.,Kohne tikili
2,60,6,14,450,Xırdalan,Xırdalan,Teze tikili
2,100,16,20,800,Bakı,Nəriman Nərimanov m.,Teze tikili
1,37,18,18,300,Xırdalan,Xırdalan,Teze tikili
2,60,9,20,550,Bakı,Əhmədli q.,Teze tikili
4,100,4,9,850,Bakı,Nərimanov r.,Kohne tikili
3,70,1,5,750,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,50,20,20,550,Bakı,Yeni Yasamal q.,Teze tikili
2,65,5,16,795,Bakı,Şah İsmayıl Xətai m.,Teze tikili
3,110,5,9,850,Bakı,Azadlıq Prospekti m.,Kohne tikili
3,100,14,16,700,Bakı,Qara Qarayev m.,Teze tikili
1,31,9,20,550,Bakı,20 Yanvar m.,Teze tikili
2,65,7,16,899,Bakı,28 May m.,Teze tikili
3,120,4,16,850,Bakı,Həzi Aslanov m.,Teze tikili
2,55,3,16,750,Bakı,Yasamal r.,Teze tikili
3,100,5,5,900,Bakı,Yasamal r.,Kohne tikili
2,70,2,5,980,Bakı,28 May m.,Kohne tikili
3,90,7,9,180,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,85,9,9,650,Bakı,Xalqlar Dostluğu m.,Kohne tikili
3,110,11,16,800,Bakı,Həzi Aslanov m.,Teze tikili
3,100,7,9,799,Bakı,Nizami m.,Kohne tikili
2,70,2,5,700,Bakı,Memar Əcəmi m.,Kohne tikili
2,40,5,5,400,Bakı,20 Yanvar m.,Kohne tikili
3,105,2,14,980,Bakı,Nizami m.,Teze tikili
2,40,1,5,499,Bakı,Memar Əcəmi m.,Kohne tikili
3,60,7,16,850,Bakı,Neftçilər m.,Teze tikili
2,55,10,17,800,Bakı,Nəsimi r.,Teze tikili
2,50,1,4,590,Bakı,Sahil m.,Kohne tikili
3,30,4,8,300,Bakı,Yasamal r.,Kohne tikili
3,155,8,17,950,Bakı,Nəriman Nərimanov m.,Teze tikili
2,60,7,16,700,Bakı,Koroğlu m.,Teze tikili
3,80,7,9,800,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,70,7,16,600,Bakı,Biləcəri q.,Teze tikili
3,115,5,16,850,Bakı,Əhmədli m.,Teze tikili
2,65,10,17,180,Bakı,İnşaatçılar m.,Teze tikili
4,90,6,9,650,Bakı,Memar Əcəmi m.,Kohne tikili
3,60,2,5,700,Bakı,Neftçilər m.,Kohne tikili
3,70,4,5,900,Bakı,Şah İsmayıl Xətai m.,Kohne tikili
2,75,6,18,900,Bakı,Nizami m.,Teze tikili
