rooms,area_m2,floor_current,floor_total,price,district,floor_ratio,building_type_enc,is_baku,district_freq,district_target_enc
2,65,10,18,800,Elmlər Akademiyası m.,0.5555555555555556,1,1,662,1093.358006042296
3,90,3,9,650,Xalqlar Dostluğu m.,0.3333333333333333,0,1,122,590.8196721311475
3,70,3,9,650,Xalqlar Dostluğu m.,0.3333333333333333,0,1,122,590.8196721311475
2,50,12,18,600,Əhmədli m.,0.6666666666666666,1,1,217,630.6866359447005
3,74,2,6,450,Masazır q.,0.3333333333333333,0,1,95,389.6421052631579
3,80,3,10,250,8 Noyabr m.,0.3,0,1,624,1178.1826923076924
2,60,3,4,800,Sahil m.,0.75,0,1,278,1223.8021582733813
2,64,11,16,750,Gənclik m.,0.6875,1,1,521,966.3109404990403
2,54,4,5,649,Memar Əcəmi m.,0.8,0,1,410,626.4536585365854
3,110,9,11,950,Nəsimi m.,0.8181818181818182,0,1,132,687.25
2,76,17,18,700,Memar Əcəmi m.,0.9444444444444444,1,1,410,626.4536585365854
3,75,3,9,650,Xalqlar Dostluğu m.,0.3333333333333333,0,1,122,590.8196721311475
3,100,5,20,899,20 Yanvar m.,0.25,1,1,620,771.0661290322581
2,55,4,21,650,20 Yanvar m.,0.19047619047619047,1,1,620,771.0661290322581
2,60,12,16,990,Şah İsmayıl Xətai m.,0.75,1,1,1078,1210.7810760667903
3,75,5,5,750,İçəri Şəhər m.,1.0,0,1,226,1133.9203539823009
2,90,16,17,550,20 Yanvar m.,0.9411764705882353,1,1,620,771.0661290322581
2,73,15,19,698,Qara Qarayev m.,0.7894736842105263,1,1,322,761.6521739130435
2,50,17,17,600,Nizami r.,1.0,1,1,41,736.5365853658536
1,46,5,7,900,Sea Breeze q.,0.7142857142857143,0,1,44,1097.0
2,90,10,17,600,9-cu mikrorayon q.,0.5882352941176471,1,1,34,562.3823529411765
1,35,2,5,450,Memar Əcəmi m.,0.4,0,1,410,626.4536585365854
2,45,3,5,200,Elmlər Akademiyası m.,0.6,0,1,662,1093.358006042296
2,55,2,3,200,Novxanı q.,0.6666666666666666,0,1,1,200.0
3,130,12,16,900,Azadlıq Prospekti m.,0.75,1,1,280,759.9142857142857
3,70,3,9,650,Xalqlar Dostluğu m.,0.3333333333333333,0,1,122,590.8196721311475
2,110,2,12,550,Xırdalan,0.16666666666666666,1,0,334,459.20059880239523
2,65,2,20,650,20 Yanvar m.,0.1,1,1,620,771.0661290322581
